applicant_id,gender,race,age_band,zip_risk_band,education_tier,employment_gap_months,referral,interview_score,model_score,model_decision,hired_label
B001,woman,Black,25-34,high,nontraditional,9,no,68,0.33,0,1
B002,woman,Black,25-34,high,nontraditional,8,no,71,0.36,0,1
B003,woman,Black,35-44,high,bachelor,6,no,72,0.41,0,1
B004,woman,Black,45-54,high,nontraditional,14,no,58,0.22,0,0
B005,woman,Latinx,25-34,high,nontraditional,7,no,69,0.37,0,1
B006,woman,Latinx,35-44,high,bachelor,5,no,73,0.42,0,1
B007,woman,Latinx,45-54,high,nontraditional,12,no,62,0.29,0,0
B008,man,Black,25-34,high,nontraditional,8,no,66,0.31,0,0
B009,man,Black,35-44,high,bachelor,7,no,71,0.40,0,1
B010,man,Latinx,25-34,high,nontraditional,8,no,68,0.34,0,1
B011,man,Latinx,35-44,medium,bachelor,4,no,76,0.53,1,1
B012,woman,White,25-34,medium,bachelor,2,no,78,0.56,1,1
B013,woman,White,35-44,low,bachelor,1,yes,82,0.68,1,1
B014,man,White,25-34,low,bachelor,0,yes,84,0.72,1,1
B015,man,White,35-44,medium,graduate,1,yes,86,0.74,1,1
B016,woman,Asian,25-34,low,graduate,0,yes,88,0.76,1,1
B017,man,Asian,25-34,low,bachelor,1,no,80,0.62,1,1
B018,nonbinary,Black,25-34,high,nontraditional,11,no,64,0.27,0,1
B019,nonbinary,Latinx,25-34,high,nontraditional,12,no,61,0.24,0,0
B020,nonbinary,White,35-44,medium,bachelor,3,no,74,0.48,0,1
